StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,training_clear,training_unclear,training_gramm,training_pragm,exp1_indef,exp2_bare,filler1_clear,filler2_clear,filler3_uncertain,exp3_bare,exp4_indef,filler5_clear,filler5_uncertain,filler6_uncertain,exp5_bare,exp6_indef,filler7_clear,filler8_clear,filler9_uncertain,exp7_bare,exp8_indef,filler14_clear,filler15_uncertain,filler16_uncertain,exp9_bare,exp10_indef,filler13_clear,filler14_clear,filler15_uncertain,exp11_bare,exp12_indef,filler16_clear,filler17_uncertain,filler18_uncertain,exp13_bare,exp14_indef,filler19_clear,filler20_clear,filler21_uncertain,exp15_bare,exp16_indef,filler22_clear,filler23_clear,filler24_uncertain,exp1_bare,exp2_indef,exp3_indef,"exp4_bare ",exp5_indef,exp6_bare,exp7_indef,"exp8_bare ","exp9_indef ","exp10_bare ",exp11_indef,exp12_bare,exp13_indef,exp14_bare,exp15_indef,"exp16_bare ",language_household,"language_today ",ReactionTime_exp1_bare,ReactionTime_exp1_indef,ReactionTime_exp2_bare,ReactionTime_exp2_indef,ReactionTime_exp3_bare,ReactionTime_exp3_indef,ReactionTime_exp4_bare,ReactionTime_exp4_indef,ReactionTime_exp5_bare,ReactionTime_exp5_indef,ReactionTime_exp6_bare,ReactionTime_exp6_indef,ReactionTime_exp7_bare,ReactionTime_exp7_indef,ReactionTime_exp8_bare,ReactionTime_exp8_indef,ReactionTime_exp9_bare,ReactionTime_exp9_indef,ReactionTime_exp10_bare,ReactionTime_exp10_indef,ReactionTime_exp11_bare,ReactionTime_exp11_indef,ReactionTime_exp12_bare,ReactionTime_exp12_indef,ReactionTime_exp13_bare,ReactionTime_exp13_indef,ReactionTime_exp14_bare,ReactionTime_exp14_indef,ReactionTime_exp15_bare,ReactionTime_exp15_indef,ReactionTime_exp16_bare,ReactionTime_exp16_indef,Create New Field or Choose From Dropdown...
2024-12-16 17:45:03,2024-12-16 18:08:52,IP Address,82.14.179.4,100,1429,True,2024-12-16 18:08:53,R_8D7rzio7EcRW82s,,,,,55.9452,-4.0052,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед в своем доме.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.","Карина надела другие варежки, которые у нее были.","Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",На русском и еще на одном или нескольких языках,На русском и еще одном языке или нескольких языках,22032,,,27557,,56754,22424,,,24576,17819,,,16177,14512,,,10824,10674,,,15177,17974,,,13153,20552,,,15330,22763,,
2024-12-16 17:52:05,2024-12-16 18:15:29,IP Address,74.14.13.62,100,1403,True,2024-12-16 18:15:29,R_5GULP7qPuQUlRqP,,,,,43.8072,-79.5946,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил чай.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,26317,24778,,12081,,,12068,29686,,,29482,26416,,,33579,17276,,,18460,25484,,,13563,14159,,,16914,13821,,,23651,
2024-12-16 17:46:46,2024-12-16 18:28:41,IP Address,75.157.138.212,100,2514,True,2024-12-16 18:28:41,R_1VF2q0D04WvUmV0,,,,,49.2732,-123.0124,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил чай.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,На русском и еще на одном или нескольких языках,На русском и еще одном языке или нескольких языках,,28142,25048,,30139,,,51245,57238,,,51137,28250,,,39975,24901,,,27565,51146,,,49271,62275,,,41826,34014,,,38494,
2024-12-16 18:11:57,2024-12-16 18:31:50,IP Address,185.81.131.133,100,1192,True,2024-12-16 18:31:50,R_2DvYFsAJ9q6diqz,,,,,56.9989,24.9969,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,10500,,,31175,,34734,12272,,,17338,15246,,,18289,25458,,,15802,20572,,,45845,22620,,,23544,13112,,,9361,42161,,
2024-12-16 18:20:45,2024-12-16 18:32:31,IP Address,173.79.22.188,100,706,True,2024-12-16 18:32:32,R_5fTNWwLr3lVEjYp,,,,,39.0828,-77.1674,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед в своем доме.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,Только на русском,,5686,10429,,8045,,,10716,8949,,,7530,8160,,,14171,9087,,,6207,9925,,,16345,11861,,,16515,6950,,,6510,
2024-12-16 18:20:44,2024-12-16 18:33:47,IP Address,2.26.111.253,100,782,True,2024-12-16 18:33:47,R_8Tnuekl2ItQGmru,,,,,51.5043,-0.2211,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула другие книги, которые пора было сдавать.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,Яна приготовила другие кабачки.,"Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,6840,13993,,8664,,,8881,11345,,,7977,18425,,,11184,8197,,,6545,10625,,,12061,6065,,,10755,7860,,,8640,
2024-12-16 17:58:25,2024-12-16 18:37:33,IP Address,73.30.7.229,100,2348,True,2024-12-16 18:37:34,R_116qGn7Tm8iUXO1,,,,,39.9206,-75.1826,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед в своем доме.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог со сливами.,Сначала Маша и Леня заехали на заправку.,Лене не понравилась картинная галерея.,,,Ольга покрасила стулья.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Даня взял в библиотеке книги.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,,,Олег провел меньше времени за чтением статьи про освоение Марса.,Цветы в гостиной - ромашки.,Соната у Милы получается лучше.,,,Аня разложила одежду по коробкам.,У Светы не было достаточно мяса.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гостям не понравились кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.",Олег использовал другие гвозди.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",На русском и еще на одном или нескольких языках,На другом языке (не на русском),14586,,,14761,,47247,63331,,,72988,32378,,,86127,82430,,,7988,47032,,,27026,7708,,,30145,26421,,,13987,11591,,
2024-12-16 18:32:31,2024-12-16 18:49:29,IP Address,174.119.229.141,100,1017,True,2024-12-16 18:49:30,R_50B1nJyd9TlFmQK,,,,,43.8678,-79.442,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,9982,,,15708,,19455,19890,,,20481,14231,,,12179,11264,,,12593,13408,,,11253,10751,,,13001,8904,,,10954,10526,,
2024-12-16 19:06:46,2024-12-16 19:29:50,IP Address,67.87.169.156,100,1384,True,2024-12-16 19:29:50,R_1I6RHpTyLTCylut,,,,,40.665,-73.9523,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,На русском и еще на одном или нескольких языках,На русском и еще одном языке или нескольких языках,,7605,13412,,75472,,,13306,11438,,,19453,40222,,,92578,11266,,,67988,16826,,,20837,10352,,,14847,12581,,,13426,
2024-12-16 19:24:30,2024-12-16 19:39:20,IP Address,138.88.89.220,100,889,True,2024-12-16 19:39:20,R_3SCgRPVSiNu0KZv,,,,,39.1361,-77.2824,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,12475,,,27675,,19205,18220,,,10252,8878,,,33195,8358,,,13650,7106,,,26557,13450,,,9336,10495,,,11184,15836,,
2024-12-16 23:33:28,2024-12-16 23:52:28,IP Address,146.70.89.162,100,1140,True,2024-12-16 23:52:29,R_2EEteZlowa1RKPD,,,,,55.7327,12.3656,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула другие книги, которые пора было сдавать.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,Только на русском,,15900,16599,,85764,,,14124,13792,,,32987,35015,,,18978,25785,,,13787,20874,,,19898,7290,,,8305,14950,,,18236,
2024-12-17 03:58:35,2024-12-17 04:31:25,IP Address,212.113.119.15,100,1969,True,2024-12-17 04:31:26,R_8QN8hfDGSmpzvAm,,,,,48.2049,16.3662,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет белых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили другие подсвечники, которые были в мастерской.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,16494,,,20733,,30248,83506,,,25335,545537,,,14488,18487,,,16216,7675,,,39438,46933,,,23932,15872,,,30408,20032,,
2024-12-11 13:38:22,2024-12-11 13:40:14,IP Address,188.26.214.207,53,111,False,2024-12-18 13:40:17,R_80ByRGvfBvSofZf,,,,,,,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
